holiday_date,holiday_name,holiday_type
2026-01-01,New Year's Day,Regular
2026-04-02,Maundy Thursday,Regular
2026-04-03,Good Friday,Regular
2026-04-09,Araw ng Kagitingan,Regular
2026-05-01,Labor Day,Regular
2026-06-12,Independence Day,Regular
2026-08-31,National Heroes Day,Regular
2026-11-30,Bonifacio Day,Regular
2026-12-25,Christmas Day,Regular
2026-12-30,Rizal Day,Regular
2026-01-02,Special Non-Working Day after New Year,Special
2026-02-25,EDSA People Power Revolution Anniversary,Special
2026-04-04,Black Saturday,Special
2026-08-21,Ninoy Aquino Day,Special
2026-10-31,All Saints Day Eve,Special
2026-11-01,All Saints Day,Special
2026-11-02,All Souls Day,Special
2026-12-08,Feast of the Immaculate Conception,Special
2026-12-24,Christmas Eve,Special
2026-12-31,New Year's Eve,Special
